country_code,state,icao,latitude,longitude
US,Wisconsin,KJVL,42.6203,-89.0416
US,Wisconsin,KLNR,43.2117,-90.1816
US,Wisconsin,KLSE,43.879,-91.2567
US,Wisconsin,KMDZ,45.101,-90.3033
US,Wisconsin,KMFI,44.6369,-90.1893
US,Wisconsin,KMKE,42.9472,-87.8966
US,Wisconsin,KMSN,43.1399,-89.3375
US,Wisconsin,KMTW,44.1288,-87.6806
US,Wisconsin,KMWC,43.1104,-88.0344
US,Wisconsin,KOEO,45.31,-92.6919
US,Wisconsin,KOSH,43.9844,-88.557
US,Wisconsin,KPDC,43.0193,-91.1237
US,Wisconsin,KPKF,45.955,-90.4244
US,Wisconsin,KRAC,42.7606,-87.8152
US,Wisconsin,KRHI,45.6312,-89.4675
US,Wisconsin,KRPD,45.419,-91.7735
US,Wisconsin,KRNH,45.1483,-92.5381
US,Wisconsin,KRRL,45.1989,-89.7129
US,Wisconsin,KSBM,43.7696,-87.8514
US,Wisconsin,KSTE,44.5452,-89.5303
US,Wisconsin,KSUE,44.8437,-87.4215
US,Wisconsin,KSUW,46.6897,-92.0947
US,Wisconsin,KUES,43.041,-88.2371
US,Wisconsin,KUNU,43.4266,-88.7032
US,Wisconsin,KVOK,43.939,-90.2534
US,Wyoming,KAFO,42.7112,-110.942
US,Wyoming,KBPI,42.5851,-110.111
US,Wyoming,KBYG,44.3811,-106.722
US,Wyoming,KCOD,44.5202,-109.024
US,Wyoming,KCPR,42.908,-106.464
US,Wyoming,KCYS,41.1557,-104.812
US,Wyoming,KDGW,42.7972,-105.386
US,Wyoming,KEAN,42.0555,-104.929
US,Wyoming,KECS,43.8854,-104.318
US,Wyoming,KEMM,41.8241,-110.557
US,Wyoming,KEVW,41.2748,-111.035
US,Wyoming,KFBR,41.3919,-110.407
US,Wyoming,KGCC,44.3489,-105.539
US,Wyoming,KGEY,44.5168,-108.083
US,Wyoming,KJAC,43.6073,-110.738
US,Wyoming,KLAR,41.3121,-105.675
US,Wyoming,KLND,42.8152,-108.73
US,Wyoming,KLSK,42.7538,-104.405
US,Wyoming,KPOY,44.8672,-108.793
US,Wyoming,KPNA,42.7955,-109.807
US,Wyoming,KRIW,43.0642,-108.46
US,Wyoming,KRKS,41.5942,-109.065
US,Wyoming,KRWL,41.8056,-107.2
US,Wyoming,KSAA,41.4449,-106.824
US,Wyoming,KSHR,44.7692,-106.98
US,Wyoming,KTHP,43.7136,-108.39
US,Wyoming,KTOR,42.0645,-104.153
US,Wyoming,KWRL,43.9657,-107.951
